timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
2024-07-03 15:44:09.394300,4243.462,4271.923,4347.436,4284.103,4249.359,4296.538,4326.026,4232.564,4201.667,4306.026,4415.256,4490.769,4401.282,4348.205
2024-07-03 15:44:09.402100,4239.487,4257.564,4336.154,4290.128,4258.846,4292.692,4318.077,4216.795,4178.974,4282.949,4408.846,4479.103,4361.154,4357.821
2024-07-03 15:44:09.409800,4273.59,4261.538,4332.821,4304.872,4265.385,4281.026,4305.769,4205.513,4160.769,4257.436,4385.256,4482.949,4313.718,4376.795
2024-07-03 15:44:09.417600,4269.487,4267.308,4326.154,4295.385,4261.795,4274.872,4295.641,4201.026,4153.974,4263.462,4373.846,4469.231,4350.128,4340.0
2024-07-03 15:44:09.425300,4240.897,4267.179,4318.077,4273.462,4258.333,4283.718,4301.538,4197.949,4150.641,4272.308,4391.026,4448.462,4387.179,4312.179
2024-07-03 15:44:09.433100,4238.846,4252.179,4326.667,4282.051,4266.667,4293.205,4318.462,4204.487,4153.846,4265.256,4400.0,4458.333,4339.359,4355.769
2024-07-03 15:44:09.440800,4262.179,4251.282,4347.051,4318.718,4266.282,4293.59,4331.923,4224.487,4178.333,4275.897,4417.949,4492.949,4328.846,4396.154
2024-07-03 15:44:09.448800,4277.308,4273.077,4351.795,4320.513,4245.0,4288.205,4329.872,4236.538,4209.231,4300.769,4449.872,4508.718,4393.59,4378.462
2024-07-03 15:44:09.456600,4279.231,4292.692,4353.077,4286.154,4251.41,4296.026,4330.513,4235.897,4223.333,4315.769,4454.103,4504.615,4412.308,4371.026
2024-07-03 15:44:09.464500,4283.205,4287.179,4364.744,4291.026,4286.538,4307.179,4334.744,4230.0,4220.0,4315.0,4437.308,4511.667,4374.103,4404.231
2024-07-03 15:44:09.472300,4272.949,4275.641,4357.308,4328.462,4286.923,4291.282,4321.282,4218.974,4203.59,4296.282,4435.385,4510.128,4362.949,4396.667
2024-07-03 15:44:09.480200,4257.308,4282.692,4338.333,4320.769,4260.641,4275.641,4310.897,4211.282,4184.103,4282.692,4436.41,4486.41,4386.795,4361.923
2024-07-03 15:44:09.488000,4266.667,4293.974,4339.487,4291.026,4272.564,4293.333,4325.641,4213.846,4177.821,4295.128,4431.538,4481.026,4396.154,4371.538
2024-07-03 15:44:09.495900,4285.0,4295.256,4348.846,4302.308,4298.333,4308.59,4338.974,4221.282,4186.41,4301.026,4431.667,4498.974,4376.538,4390.513
2024-07-03 15:44:09.503700,4290.128,4295.897,4351.923,4328.462,4281.154,4297.821,4327.051,4220.128,4190.641,4295.769,4443.718,4504.231,4359.487,4385.128
2024-07-03 15:44:09.511600,4276.282,4282.308,4344.615,4313.846,4246.282,4284.744,4311.026,4205.641,4183.077,4294.744,4442.051,4483.333,4365.769,4375.385
2024-07-03 15:44:09.519400,4253.718,4261.154,4328.846,4288.718,4243.077,4275.897,4307.436,4196.667,4174.359,4281.41,4408.846,4459.872,4364.231,4369.872
2024-07-03 15:44:09.527200,4254.231,4279.359,4324.872,4295.769,4268.59,4280.513,4313.462,4196.795,4177.564,4271.41,4391.154,4460.641,4340.897,4358.205
2024-07-03 15:44:09.535000,4281.282,4304.487,4340.769,4307.051,4287.436,4301.154,4325.385,4199.103,4197.436,4291.795,4419.231,4478.462,4351.154,4360.128
2024-07-03 15:44:09.542700,4283.974,4283.205,4347.051,4297.692,4280.0,4306.026,4330.256,4205.256,4205.0,4301.795,4441.795,4480.769,4374.872,4381.282
2024-07-03 15:44:09.550600,4252.051,4267.179,4328.846,4285.641,4268.846,4295.0,4327.949,4208.974,4185.256,4286.667,4412.692,4458.846,4355.897,4362.179
2024-07-03 15:44:09.558300,4251.667,4286.667,4318.846,4296.154,4280.769,4295.256,4327.051,4201.923,4166.667,4280.897,4388.846,4448.59,4335.769,4325.385
2024-07-03 15:44:09.566100,4279.487,4291.667,4334.744,4322.821,4283.077,4299.872,4325.256,4195.0,4171.795,4274.744,4428.333,4468.077,4351.923,4375.897
2024-07-03 15:44:09.573800,4275.641,4277.308,4344.744,4322.564,4264.615,4302.051,4325.897,4201.026,4190.641,4258.718,4445.769,4487.564,4376.282,4437.051
2024-07-03 15:44:09.581600,4262.436,4270.256,4336.026,4297.308,4269.231,4308.846,4329.359,4207.179,4209.231,4274.872,4402.821,4477.821,4368.333,4383.205
2024-07-03 15:44:09.589300,4284.872,4275.641,4331.538,4291.154,4286.538,4299.872,4317.564,4197.051,4213.333,4315.513,4403.718,4461.282,4355.256,4342.821
2024-07-03 15:44:09.597100,4301.026,4285.128,4341.795,4295.385,4273.205,4282.692,4306.282,4190.0,4193.974,4309.872,4451.667,4474.615,4374.103,4406.154
2024-07-03 15:44:09.604800,4278.077,4277.436,4345.769,4284.231,4252.949,4287.821,4317.436,4199.615,4181.41,4272.564,4448.718,4487.564,4387.179,4420.641
2024-07-03 15:44:09.612600,4261.026,4253.462,4327.821,4283.333,4257.949,4293.718,4323.077,4200.513,4184.231,4270.513,4402.564,4466.154,4364.231,4359.615
2024-07-03 15:44:09.620300,4262.564,4257.436,4312.692,4296.154,4273.974,4291.026,4319.103,4192.821,4190.0,4293.59,4397.564,4445.256,4357.564,4355.513
